url,content_type,title,category,primary_intent,primary_topic,content_role,status,http_result,canonical_result,last_checked,evidence_basis,audit_priority,notes
https://proplogai.com/blogs/forex-journal-funded-accounts,blog,How to Keep a Forex Trading Journal for Funded Accounts | PropLogAI Blog,Trading Journaling,educational guide,forex journal funded accounts,cluster support,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P2,h1=1; words~1634; schema=none; sources=0; blog_links=5; glossary_links=0; date=missing; brand_spacing=PropLog AI
https://proplogai.com/blogs/prop-firm-trading-journal,blog,Best Trading Journal for Prop Firm Traders: What to Track and Why | PropLogAI Blog,Trading Journaling,educational guide,prop firm trading journal,pillar candidate,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P2,h1=1; words~1354; schema=none; sources=0; blog_links=9; glossary_links=0; date=missing; brand_spacing=PropLog AI
https://proplogai.com/blogs/trading-journal-fields,blog,Trading Journal Fields Every Prop Firm Trader Should Track | PropLogAI Blog,Trading Journaling,educational guide,trading journal fields,cluster support,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P2,h1=1; words~1788; schema=none; sources=0; blog_links=8; glossary_links=0; date=missing; brand_spacing=PropLog AI
https://proplogai.com/blogs/trading-journal-benefits,blog,Why Every Trader Needs a Trading Journal (And How to Actually Use One) | PropLogAI Blog,Trading Journaling,educational guide,trading journal benefits,cluster support,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P1,h1=1; words~885; schema=none; sources=0; blog_links=4; glossary_links=0; date=missing
https://proplogai.com/blogs/trading-emotions-account-killer,blog,Trading Emotions: The Silent Account Killer | PropLogAI Blog,Trading Psychology,educational guide,trading emotions account killer,cluster support,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P1,h1=1; words~969; schema=none; sources=0; blog_links=4; glossary_links=0; date=missing
https://proplogai.com/blogs/prop-firm-expense-tracking-guide,blog,The Complete Guide to Tracking Your Prop Firm Expenses | PropLogAI Blog,Prop Firm Expenses and ROI,educational guide,prop firm expense tracking guide,cluster support,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P1,h1=1; words~774; schema=none; sources=0; blog_links=5; glossary_links=0; date=missing
https://proplogai.com/glossary,glossary_index,Trading Glossary | PropLogAI Glossary,Mixed,discovery,Mixed,index,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P1,h1=1; words~1119; schema=none; sources=0; blog_links=0; glossary_links=36; date=missing
https://proplogai.com/glossary/fomo,glossary,FOMO (Fear of Missing Out) | PropLogAI Glossary,Trading Psychology,definition of fomo,fomo,definition,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P2,h1=1; words~419; schema=none; sources=0; blog_links=0; glossary_links=3; date=missing
https://proplogai.com/glossary/revenge-trading,glossary,Revenge Trading | PropLogAI Glossary,Trading Psychology,definition of revenge trading,revenge trading,definition,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P2,h1=1; words~383; schema=none; sources=0; blog_links=0; glossary_links=3; date=missing
https://proplogai.com/glossary/tilt,glossary,Tilt | PropLogAI Glossary,Trading Psychology,definition of tilt,tilt,definition,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P2,h1=1; words~340; schema=none; sources=0; blog_links=0; glossary_links=3; date=missing
https://proplogai.com/glossary/confirmation-bias,glossary,Confirmation Bias | PropLogAI Glossary,Trading Psychology,definition of confirmation bias,confirmation bias,definition,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P2,h1=1; words~349; schema=none; sources=0; blog_links=0; glossary_links=3; date=missing
https://proplogai.com/glossary/loss-aversion,glossary,Loss Aversion | PropLogAI Glossary,Trading Psychology,definition of loss aversion,loss aversion,definition,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P1,h1=1; words~369; schema=none; sources=0; blog_links=0; glossary_links=3; date=missing
https://proplogai.com/glossary/overconfidence,glossary,Overconfidence | PropLogAI Glossary,Trading Psychology,definition of overconfidence,overconfidence,definition,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P2,h1=1; words~334; schema=none; sources=0; blog_links=0; glossary_links=3; date=missing
https://proplogai.com/glossary/drawdown,glossary,Drawdown | PropLogAI Glossary,Risk Management,definition of drawdown,drawdown,definition,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P2,h1=1; words~320; schema=none; sources=0; blog_links=0; glossary_links=3; date=missing
https://proplogai.com/glossary/position-sizing,glossary,Position Sizing | PropLogAI Glossary,Risk Management,definition of position sizing,position sizing,definition,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P2,h1=1; words~362; schema=none; sources=0; blog_links=0; glossary_links=3; date=missing
https://proplogai.com/glossary/risk-reward-ratio,glossary,Risk-Reward Ratio | PropLogAI Glossary,Risk Management,definition of risk reward ratio,risk reward ratio,definition,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P2,h1=1; words~344; schema=none; sources=0; blog_links=0; glossary_links=3; date=missing
https://proplogai.com/glossary/stop-loss,glossary,Stop Loss | PropLogAI Glossary,Risk Management,definition of stop loss,stop loss,definition,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P2,h1=1; words~352; schema=none; sources=0; blog_links=0; glossary_links=3; date=missing
https://proplogai.com/glossary/daily-drawdown-limit,glossary,Daily Drawdown Limit | PropLogAI Glossary,Risk Management,definition of daily drawdown limit,daily drawdown limit,definition,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P1,h1=1; words~354; schema=none; sources=0; blog_links=0; glossary_links=3; date=missing
https://proplogai.com/glossary/risk-per-trade,glossary,Risk Per Trade | PropLogAI Glossary,Risk Management,definition of risk per trade,risk per trade,definition,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P1,h1=1; words~368; schema=none; sources=0; blog_links=0; glossary_links=3; date=missing
https://proplogai.com/glossary/win-rate,glossary,Win Rate | PropLogAI Glossary,Performance Metrics,definition of win rate,win rate,definition,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P1,h1=1; words~327; schema=none; sources=0; blog_links=0; glossary_links=3; date=missing
https://proplogai.com/glossary/profit-factor,glossary,Profit Factor | PropLogAI Glossary,Performance Metrics,definition of profit factor,profit factor,definition,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P1,h1=1; words~324; schema=none; sources=0; blog_links=0; glossary_links=3; date=missing
https://proplogai.com/glossary/expectancy,glossary,Expectancy | PropLogAI Glossary,Performance Metrics,definition of expectancy,expectancy,definition,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P2,h1=1; words~330; schema=none; sources=0; blog_links=0; glossary_links=3; date=missing
https://proplogai.com/glossary/sharpe-ratio,glossary,Sharpe Ratio | PropLogAI Glossary,Performance Metrics,definition of sharpe ratio,sharpe ratio,definition,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P2,h1=1; words~342; schema=none; sources=0; blog_links=0; glossary_links=3; date=missing
https://proplogai.com/glossary/average-win-vs-average-loss,glossary,Average Win vs Average Loss | PropLogAI Glossary,Performance Metrics,definition of average win vs average loss,average win vs average loss,definition,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P2,h1=1; words~336; schema=none; sources=0; blog_links=0; glossary_links=3; date=missing
https://proplogai.com/glossary/equity-curve,glossary,Equity Curve | PropLogAI Glossary,Performance Metrics,definition of equity curve,equity curve,definition,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P2,h1=1; words~299; schema=none; sources=0; blog_links=0; glossary_links=3; date=missing
https://proplogai.com/glossary/trading-plan,glossary,Trading Plan | PropLogAI Glossary,Trading Discipline,definition of trading plan,trading plan,definition,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P2,h1=1; words~322; schema=none; sources=0; blog_links=0; glossary_links=3; date=missing
https://proplogai.com/glossary/setup-compliance,glossary,Setup Compliance | PropLogAI Glossary,Trading Discipline,definition of setup compliance,setup compliance,definition,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P2,h1=1; words~340; schema=none; sources=0; blog_links=0; glossary_links=3; date=missing
https://proplogai.com/glossary/overtrading,glossary,Overtrading | PropLogAI Glossary,Trading Discipline,definition of overtrading,overtrading,definition,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P2,h1=1; words~308; schema=none; sources=0; blog_links=0; glossary_links=3; date=missing
https://proplogai.com/glossary/pre-market-routine,glossary,Pre-Market Routine | PropLogAI Glossary,Trading Discipline,definition of pre market routine,pre market routine,definition,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P2,h1=1; words~309; schema=none; sources=0; blog_links=0; glossary_links=3; date=missing
https://proplogai.com/glossary/trade-management,glossary,Trade Management | PropLogAI Glossary,Trading Discipline,definition of trade management,trade management,definition,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P2,h1=1; words~340; schema=none; sources=0; blog_links=0; glossary_links=3; date=missing
https://proplogai.com/glossary/rule-based-trading,glossary,Rule-Based Trading | PropLogAI Glossary,Trading Discipline,definition of rule based trading,rule based trading,definition,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P2,h1=1; words~338; schema=none; sources=0; blog_links=0; glossary_links=3; date=missing
https://proplogai.com/glossary/prop-firm-challenge,glossary,Prop Firm Challenge | PropLogAI Glossary,Prop Firm,definition of prop firm challenge,prop firm challenge,definition,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P1,h1=1; words~335; schema=none; sources=0; blog_links=0; glossary_links=3; date=missing
https://proplogai.com/glossary/funded-account,glossary,Funded Account | PropLogAI Glossary,Prop Firm,definition of funded account,funded account,definition,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P1,h1=1; words~322; schema=none; sources=0; blog_links=0; glossary_links=3; date=missing
https://proplogai.com/glossary/overall-drawdown-limit,glossary,Overall Drawdown Limit | PropLogAI Glossary,Prop Firm,definition of overall drawdown limit,overall drawdown limit,definition,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P1,h1=1; words~333; schema=none; sources=0; blog_links=0; glossary_links=3; date=missing
https://proplogai.com/glossary/profit-target,glossary,Profit Target | PropLogAI Glossary,Prop Firm,definition of profit target,profit target,definition,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P1,h1=1; words~349; schema=none; sources=0; blog_links=0; glossary_links=3; date=missing
https://proplogai.com/glossary/consistency-rule,glossary,Consistency Rule | PropLogAI Glossary,Prop Firm,definition of consistency rule,consistency rule,definition,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P1,h1=1; words~359; schema=none; sources=0; blog_links=0; glossary_links=3; date=missing
https://proplogai.com/glossary/trading-journal,glossary,Trading Journal | PropLogAI Glossary,Journal and Analysis,definition of trading journal,trading journal,definition,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P2,h1=1; words~309; schema=none; sources=0; blog_links=0; glossary_links=3; date=missing
https://proplogai.com/glossary/trade-review,glossary,Trade Review | PropLogAI Glossary,Journal and Analysis,definition of trade review,trade review,definition,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P2,h1=1; words~299; schema=none; sources=0; blog_links=0; glossary_links=3; date=missing; brand_typo=Propol AI
https://proplogai.com/glossary/emotion-tracking,glossary,Emotion Tracking | PropLogAI Glossary,Journal and Analysis,definition of emotion tracking,emotion tracking,definition,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P2,h1=1; words~318; schema=none; sources=0; blog_links=0; glossary_links=3; date=missing
https://proplogai.com/glossary/pattern-recognition,glossary,Pattern Recognition | PropLogAI Glossary,Journal and Analysis,definition of pattern recognition,pattern recognition,definition,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P2,h1=1; words~311; schema=none; sources=0; blog_links=0; glossary_links=3; date=missing
https://proplogai.com/glossary/performance-report,glossary,Performance Report | PropLogAI Glossary,Journal and Analysis,definition of performance report,performance report,definition,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P2,h1=1; words~290; schema=none; sources=0; blog_links=0; glossary_links=3; date=missing
https://proplogai.com/glossary/ai-trading-coach,glossary,AI Trading Coach | PropLogAI Glossary,Journal and Analysis,definition of ai trading coach,ai trading coach,definition,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P2,h1=1; words~332; schema=none; sources=0; blog_links=0; glossary_links=3; date=missing
