"item_id","title","url","content_status","canonical_url","category","primary_keyword","supporting_keywords","search_intent","content_role","topic_cluster","pillar_url","pillar_status","paired_content_urls","keyword_evidence","keyword_market","market_tier","market_rationale","keyword_volume","keyword_sd","keyword_cpc_usd","keyword_checked_on","canonical_action","gsc_market","gsc_top_query","gsc_clicks_period","gsc_impressions_period","gsc_ctr_percent_period","gsc_avg_position_period","gsc_period","priority","last_content_review","last_gsc_refresh","notes"
"proplogai-live-blog-prop-firm-consistency-calculator","Prop Firm Consistency Calculator: How to Know If You Can Request Payout | PropLogAI Blog","https://proplogai.com/blogs/prop-firm-consistency-calculator","live","https://proplogai.com/blogs/prop-firm-consistency-calculator","Prop Firm Rules","prop firm consistency calculator","consistency rule calculator | calculate consistency rule | trading consistency calculator","Informational utility","Utility guide","Prop Firm Rules and Readiness","https://proplogai.com/blogs/prop-firm-challenge-readiness","Interim","https://proplogai.com/glossary/consistency-rule | https://proplogai.com/glossary/profit-target","GSC India","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Refresh","India","consistency calculator","0","2","0%","47.5","2026-07-06/2026-09-17","P1","2026-09-24","2026-09-24","Separate guide ownership from live utility ownership. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-blog-prop-firm-expense-tracking-guide","The Complete Guide to Tracking Your Prop Firm Expenses | PropLogAI Blog","https://proplogai.com/blogs/prop-firm-expense-tracking-guide","live","https://proplogai.com/blogs/prop-firm-expense-tracking-guide","Costs and Payouts","prop firm expense tracking","prop firm fees | challenge cost tracking | prop firm expense records","Informational","Pillar","Prop Firm Costs Payouts and ROI","https://proplogai.com/blogs/prop-firm-expense-tracking-guide","Current","https://proplogai.com/glossary/funded-account | https://proplogai.com/blogs/prop-firm-roi-calculator","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Refresh","","","","","","","","P1","2026-09-24","","Current cost-record pillar and GSC opportunity. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-blog-prop-firm-pnl-calendar","P&L Calendar for Traders: Spot Revenge Days and Losing Streaks | PropLogAI Blog","https://proplogai.com/blogs/prop-firm-pnl-calendar","live","https://proplogai.com/blogs/prop-firm-pnl-calendar","Journaling","trading P and L calendar","profit and loss calendar | trading calendar review | losing streak tracker","Informational utility","Tool guide","Trading Journaling and Reviews","https://proplogai.com/blogs/prop-firm-trading-journal","Current","https://proplogai.com/glossary/performance-report | https://proplogai.com/glossary/equity-curve","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Keep","","","","","","","","P2","2026-09-24","","Calendar-based review workflow. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-blog-prop-firm-risk-management","What Is Risk Management in Forex Trading? | PropLogAI Blog","https://proplogai.com/blogs/prop-firm-risk-management","live","https://proplogai.com/blogs/prop-firm-risk-management","Risk Management","forex risk management","prop firm risk management | risk management in trading | drawdown risk controls","Informational","Pillar","Risk and Drawdown","https://proplogai.com/blogs/prop-firm-risk-management","Current","https://proplogai.com/glossary/risk-per-trade | https://proplogai.com/glossary/drawdown | https://proplogai.com/glossary/position-sizing","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Refresh","","","","","","","","P1","2026-09-24","","Current risk pillar. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-blog-prop-firm-roi-calculator","Prop Firm ROI Calculator: Fees, Payouts, and Failed Challenges | PropLogAI Blog","https://proplogai.com/blogs/prop-firm-roi-calculator","live","https://proplogai.com/blogs/prop-firm-roi-calculator","Costs and Payouts","prop firm ROI calculator","prop firm cost calculator | challenge fee ROI | funded account ROI","Informational utility","Utility guide","Prop Firm Costs Payouts and ROI","https://proplogai.com/blogs/prop-firm-expense-tracking-guide","Current","https://proplogai.com/glossary/funded-account | https://proplogai.com/glossary/profit-target","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Keep","","","","","","","","P2","2026-09-24","","Use explicit cost and payout assumptions. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-blog-prop-firm-trading-journal","Best Trading Journal for Prop Firm Traders: What to Track and Why | PropLogAI Blog","https://proplogai.com/blogs/prop-firm-trading-journal","live","https://proplogai.com/blogs/prop-firm-trading-journal","Journaling","prop firm trading journal","trading journal for funded accounts | trading journal workflow | best trading journal for prop firms","Commercial informational","Pillar","Trading Journaling and Reviews","https://proplogai.com/blogs/prop-firm-trading-journal","Current","https://proplogai.com/glossary/trading-journal | https://proplogai.com/glossary/trade-review","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Strengthen and consolidate","","","","","","","","P1","2026-09-24","","Preferred journal pillar owner. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-blog-prop-firm-trading-rulebook","How to Create a Trading Rulebook You Actually Follow | PropLogAI Blog","https://proplogai.com/blogs/prop-firm-trading-rulebook","live","https://proplogai.com/blogs/prop-firm-trading-rulebook","Discipline","trading rulebook","prop firm trading rules | written trading rules | trading rulebook template","Informational","Cluster support","Trading Discipline and Rulebooks","https://proplogai.com/blogs/trading-discipline-prop-firm","Current","https://proplogai.com/glossary/trading-plan | https://proplogai.com/glossary/rule-based-trading","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Keep","","","","","","","","P2","2026-09-24","","Rulebook creation workflow. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-blog-revenge-trading-prop-firm","Revenge Trading in Prop Firm Challenges: How to Stop the Cycle | PropLogAI Blog","https://proplogai.com/blogs/revenge-trading-prop-firm","live","https://proplogai.com/blogs/revenge-trading-prop-firm","Psychology","how to stop revenge trading","revenge trading cycle | post loss trading routine | revenge trading prop firm","Informational","Cluster support","Trading Psychology and Emotions","https://proplogai.com/blogs/trading-psychology-prop-firm","Current","https://proplogai.com/glossary/revenge-trading | https://proplogai.com/glossary/tilt","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Refresh","","","","","","","","P1","2026-09-24","","Canonical application workflow. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-blog-tracking-trading-emotions","How to Track Trading Emotions Without Turning Your Journal Into a Diary | PropLogAI Blog","https://proplogai.com/blogs/tracking-trading-emotions","live","https://proplogai.com/blogs/tracking-trading-emotions","Psychology","how to track trading emotions","trading emotion journal | emotion tracking template | journal trading psychology","Informational","Cluster support","Trading Psychology and Emotions","https://proplogai.com/blogs/trading-psychology-prop-firm","Current","https://proplogai.com/glossary/emotion-tracking | https://proplogai.com/glossary/fomo","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Keep","","","","","","","","P2","2026-09-24","","Emotion logging workflow. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-blog-trading-discipline-prop-firm","Trading Discipline for Prop Firm Traders: A Practical System | PropLogAI Blog","https://proplogai.com/blogs/trading-discipline-prop-firm","live","https://proplogai.com/blogs/trading-discipline-prop-firm","Discipline","trading discipline","trading discipline for prop firm traders | trading rule adherence | disciplined trading system","Informational","Pillar","Trading Discipline and Rulebooks","https://proplogai.com/blogs/trading-discipline-prop-firm","Current","https://proplogai.com/glossary/setup-compliance | https://proplogai.com/glossary/rule-based-trading","Current search review","India / English","Primary","PropLogAI's primary audience is India.","720","41","0.01","2026-09-24","Keep and strengthen","","","","","","","","P1","2026-09-24","","Current discipline pillar. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-blog-trading-emotions-account-killer","Trading Emotions: The Silent Account Killer | PropLogAI Blog","https://proplogai.com/blogs/trading-emotions-account-killer","live","https://proplogai.com/blogs/trading-emotions-account-killer","Psychology","trading emotions","emotional trading mistakes | emotions in trading | trading emotion control","Informational","Cluster support","Trading Psychology and Emotions","https://proplogai.com/blogs/trading-psychology-prop-firm","Current","https://proplogai.com/glossary/emotion-tracking | https://proplogai.com/glossary/revenge-trading","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Refresh or differentiate","","","","","","","","P2","2026-09-24","","Differentiate from the psychology pillar. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-blog-trading-journal-benefits","Why Every Trader Needs a Trading Journal (And How to Actually Use One) | PropLogAI Blog","https://proplogai.com/blogs/trading-journal-benefits","live","https://proplogai.com/blogs/trading-journal-benefits","Journaling","trading journal benefits","why keep a trading journal | benefits of trade journaling | trading journal importance","Informational","Consolidation candidate","Trading Journaling and Reviews","https://proplogai.com/blogs/prop-firm-trading-journal","Current","https://proplogai.com/glossary/trading-journal | https://proplogai.com/glossary/trade-review","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Consolidate proposal","","","","","","","","P1","2026-09-24","","Do not redirect until human approval. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-blog-trading-journal-fields","Trading Journal Fields Every Prop Firm Trader Should Track | PropLogAI Blog","https://proplogai.com/blogs/trading-journal-fields","live","https://proplogai.com/blogs/trading-journal-fields","Journaling","trading journal fields","what to track in trading journal | trading journal columns | prop firm journal checklist","Informational checklist","Cluster support","Trading Journaling and Reviews","https://proplogai.com/blogs/prop-firm-trading-journal","Current","https://proplogai.com/glossary/trading-journal | https://proplogai.com/glossary/setup-compliance","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Keep","","","","","","","","P2","2026-09-24","","Own the field-selection intent. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-2026-09-24-trading-journal-template","Trading Journal Template for Prop Firm Traders","https://proplogai.com/blogs/trading-journal-template","live","https://proplogai.com/blogs/trading-journal-template","Journaling","trading journal template","trading journal template excel | trading journal excel free download india | trading journal template google sheets | trading journal examples","Informational template","Template","Trading Journaling and Reviews","https://proplogai.com/blogs/prop-firm-trading-journal","Current","https://proplogai.com/glossary/trading-journal | https://proplogai.com/blogs/trading-journal-fields","Current search review","India / English","Primary","PropLogAI's primary audience is India.","480","20","0","2026-09-24","create","","","","","","","","P1","2026-09-24","2026-09-25","Revision 5 is live and appeared as a Google site-query result on 2026-09-25. This confirms indexing, not keyword ranking or traffic performance."
"proplogai-live-blog-trading-psychology-prop-firm","Trading Psychology for Prop Firm Traders: Why Your Mind Breaks the Rules | PropLogAI Blog","https://proplogai.com/blogs/trading-psychology-prop-firm","live","https://proplogai.com/blogs/trading-psychology-prop-firm","Psychology","trading psychology","trading psychology for prop firm traders | trading emotions | trader behaviour","Informational","Pillar","Trading Psychology and Emotions","https://proplogai.com/blogs/trading-psychology-prop-firm","Current","https://proplogai.com/glossary/emotion-tracking | https://proplogai.com/glossary/loss-aversion","Current search review","India / English","Primary","PropLogAI's primary audience is India.","2900","38","0.05","2026-09-24","Keep and strengthen","","","","","","","","P1","2026-09-24","","Current psychology pillar. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-blog-weekly-trading-review-template","Weekly Trading Review Template for Forex Traders | PropLogAI Blog","https://proplogai.com/blogs/weekly-trading-review-template","live","https://proplogai.com/blogs/weekly-trading-review-template","Journaling","weekly trading review template","weekly trading journal review | forex weekly review | prop firm weekly review","Informational template","Template","Trading Journaling and Reviews","https://proplogai.com/blogs/prop-firm-trading-journal","Current","https://proplogai.com/glossary/trade-review | https://proplogai.com/glossary/performance-report","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Keep","","","","","","","","P2","2026-09-24","","Weekly review workflow support. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-glossary-glossary","Trading Glossary | PropLogAI Glossary","https://proplogai.com/glossary","live","https://proplogai.com/glossary","Navigation","PropLogAI trading glossary","prop firm glossary | trading terms | trading journal definitions","Navigational","Index","Portfolio Navigation","https://proplogai.com/glossary","Current","https://proplogai.com/blogs","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Keep","","","","","","","","P1","2026-09-24","","Glossary discovery index. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-glossary-ai-trading-coach","AI Trading Coach | PropLogAI Glossary","https://proplogai.com/glossary/ai-trading-coach","live","https://proplogai.com/glossary/ai-trading-coach","AI Coaching","AI trading coach","AI trading journal coach | trading AI assistant | journal analysis AI","Definition","Definition","AI Coaching and Journal Analytics","https://proplogai.com/blogs/ai-trading-coach-prop-firm","Current","https://proplogai.com/blogs/ai-trading-discipline","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Keep","","","","","","","","P2","2026-09-24","","Define product category without signal claims. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-glossary-average-win-vs-average-loss","Average Win vs Average Loss | PropLogAI Glossary","https://proplogai.com/glossary/average-win-vs-average-loss","live","https://proplogai.com/glossary/average-win-vs-average-loss","Performance Analytics","average win vs average loss","average winner vs average loser | average trade result | payoff ratio trading","Definition","Definition","Trading Performance Metrics","https://proplogai.com/blogs/trading-performance-metrics","Planned","https://proplogai.com/glossary/expectancy | https://proplogai.com/glossary/profit-factor","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Keep","","","","","","","","P2","2026-09-24","","Formula relationship owner. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-glossary-confirmation-bias","Confirmation Bias | PropLogAI Glossary","https://proplogai.com/glossary/confirmation-bias","live","https://proplogai.com/glossary/confirmation-bias","Psychology","confirmation bias in trading","trading confirmation bias | confirmation bias example | cognitive bias trading","Definition","Definition","Trading Psychology and Emotions","https://proplogai.com/blogs/trading-psychology-prop-firm","Current","https://proplogai.com/blogs/tracking-trading-emotions","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Keep","","","","","","","","P2","2026-09-24","","Definition owner. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-glossary-consistency-rule","Consistency Rule | PropLogAI Glossary","https://proplogai.com/glossary/consistency-rule","live","https://proplogai.com/glossary/consistency-rule","Prop Firm Rules","prop firm consistency rule","what is consistency rule in prop firm | consistency rule meaning | payout consistency rule","Definition","Definition","Prop Firm Rules and Readiness","https://proplogai.com/blogs/prop-firm-challenge-readiness","Interim","https://proplogai.com/blogs/prop-firm-consistency-calculator","GSC India","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Refresh","India","40 consistency rule","0","1","0%","84.0","2026-07-06/2026-09-17","P1","2026-09-24","2026-09-24","Definition owner paired with calculator guide. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-glossary-daily-drawdown-limit","Daily Drawdown Limit | PropLogAI Glossary","https://proplogai.com/glossary/daily-drawdown-limit","live","https://proplogai.com/glossary/daily-drawdown-limit","Risk Management","daily drawdown limit","daily loss limit prop firm | maximum daily loss | daily drawdown rule","Definition","Definition","Risk and Drawdown","https://proplogai.com/blogs/prop-firm-risk-management","Current","https://proplogai.com/blogs/daily-drawdown-calculator | https://proplogai.com/glossary/drawdown","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Keep and strengthen","","","","","","","","P1","2026-09-24","","Variation-aware definition. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-glossary-drawdown","Drawdown | PropLogAI Glossary","https://proplogai.com/glossary/drawdown","live","https://proplogai.com/glossary/drawdown","Risk Management","drawdown in prop firm","what is drawdown in prop firm | trading drawdown | drawdown limit","Definition","Definition","Risk and Drawdown","https://proplogai.com/blogs/prop-firm-risk-management","Current","https://proplogai.com/blogs/daily-drawdown-calculator | https://proplogai.com/glossary/daily-drawdown-limit | https://proplogai.com/glossary/overall-drawdown-limit","GSC India","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Refresh","India","drawdown limit","0","1","0%","74.0","2026-07-06/2026-09-17","P1","2026-09-24","2026-09-24","Canonical definition owner. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-glossary-emotion-tracking","Emotion Tracking | PropLogAI Glossary","https://proplogai.com/glossary/emotion-tracking","live","https://proplogai.com/glossary/emotion-tracking","Journaling","trading emotion tracking","emotion journal trading | track trading emotions | emotion tags trading","Definition","Definition","Trading Journaling and Reviews","https://proplogai.com/blogs/prop-firm-trading-journal","Current","https://proplogai.com/blogs/tracking-trading-emotions","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Keep","","","","","","","","P2","2026-09-24","","Definition bridges journal and psychology. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-glossary-equity-curve","Equity Curve | PropLogAI Glossary","https://proplogai.com/glossary/equity-curve","live","https://proplogai.com/glossary/equity-curve","Performance Analytics","trading equity curve","equity curve meaning | trading performance curve | equity curve analysis","Definition","Definition","Trading Performance Metrics","https://proplogai.com/blogs/trading-performance-metrics","Planned","https://proplogai.com/glossary/drawdown | https://proplogai.com/glossary/performance-report","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Keep","","","","","","","","P2","2026-09-24","","Definition supports planned pillar. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-glossary-expectancy","Expectancy | PropLogAI Glossary","https://proplogai.com/glossary/expectancy","live","https://proplogai.com/glossary/expectancy","Performance Analytics","trading expectancy","expectancy formula trading | trading expectancy meaning | calculate expectancy","Definition","Definition","Trading Performance Metrics","https://proplogai.com/blogs/trading-performance-metrics","Planned","https://proplogai.com/glossary/average-win-vs-average-loss | https://proplogai.com/glossary/win-rate","Current search review","India / English","Primary","PropLogAI's primary audience is India.","70","18","0","2026-09-24","Keep and expand","","","","","","","","P2","2026-09-24","","Definition supports calculator opportunity. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-glossary-fomo","FOMO (Fear of Missing Out) | PropLogAI Glossary","https://proplogai.com/glossary/fomo","live","https://proplogai.com/glossary/fomo","Psychology","FOMO in trading","fear of missing out trading | trading FOMO meaning | FOMO trader psychology","Definition","Definition","Trading Psychology and Emotions","https://proplogai.com/blogs/trading-psychology-prop-firm","Current","https://proplogai.com/blogs/tracking-trading-emotions","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Keep","","","","","","","","P2","2026-09-24","","Definition owner. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-glossary-funded-account","Funded Account | PropLogAI Glossary","https://proplogai.com/glossary/funded-account","live","https://proplogai.com/glossary/funded-account","Prop Firm Rules","funded trading account","funded account meaning | prop firm funded account | funded trader account","Definition","Definition","Prop Firm Rules and Readiness","https://proplogai.com/blogs/prop-firm-challenge-readiness","Interim","https://proplogai.com/blogs/prop-firm-expense-tracking-guide","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Keep","","","","","","","","P1","2026-09-24","","Variation-aware definition. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-glossary-loss-aversion","Loss Aversion | PropLogAI Glossary","https://proplogai.com/glossary/loss-aversion","live","https://proplogai.com/glossary/loss-aversion","Psychology","loss aversion in trading","loss aversion meaning | loss aversion example | trader loss aversion","Definition","Definition","Trading Psychology and Emotions","https://proplogai.com/blogs/trading-psychology-prop-firm","Current","https://proplogai.com/blogs/tracking-trading-emotions","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Keep","","","","","","","","P1","2026-09-24","","Definition owner with evidence limits. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
